Price,Adj Close,Close,High,Low,Open,Volume
Ticker,CC=F,CC=F,CC=F,CC=F,CC=F,CC=F
Date,,,,,,
2006-01-03,1546.0,1546.0,1548.0,1513.0,1515.0,7528
2006-01-04,1544.0,1544.0,1554.0,1532.0,1540.0,7636
2006-01-05,1519.0,1519.0,1530.0,1515.0,1525.0,8288
2006-01-06,1551.0,1551.0,1554.0,1499.0,1503.0,7597
2006-01-09,1505.0,1505.0,1554.0,1501.0,1545.0,4600
2006-01-10,1519.0,1519.0,1528.0,1506.0,1518.0,4987
2006-01-11,1518.0,1518.0,1528.0,1506.0,1523.0,4583
2006-01-12,1527.0,1527.0,1536.0,1515.0,1530.0,0
2006-01-13,1518.0,1518.0,1529.0,1515.0,1525.0,10982
2006-01-17,1571.0,1571.0,1580.0,1544.0,1548.0,8853
2006-01-18,1598.0,1598.0,1600.0,1568.0,1585.0,7952
2006-01-19,1553.0,1553.0,1562.0,1530.0,1542.0,7035
2006-01-20,1548.0,1548.0,1575.0,1520.0,1525.0,3929
2006-01-23,1531.0,1531.0,1566.0,1530.0,1560.0,16732
2006-01-24,1451.0,1451.0,1510.0,1446.0,1510.0,7705
2006-01-25,1465.0,1465.0,1472.0,1445.0,1472.0,4302
2006-01-26,1485.0,1485.0,1486.0,1456.0,1472.0,5537
2006-01-27,1455.0,1455.0,1494.0,1452.0,1478.0,8237
2006-01-30,1477.0,1477.0,1480.0,1443.0,1445.0,8938
2006-01-31,1484.0,1484.0,1497.0,1470.0,1475.0,8491
2006-02-01,1467.0,1467.0,1496.0,1460.0,1480.0,6366
2006-02-02,1453.0,1453.0,1475.0,1451.0,1470.0,10551
2006-02-03,1474.0,1474.0,1495.0,1458.0,1460.0,5826
2006-02-06,1476.0,1476.0,1488.0,1461.0,1466.0,11007
2006-02-07,1517.0,1517.0,1523.0,1485.0,1486.0,9093
2006-02-08,1522.0,1522.0,1527.0,1501.0,1515.0,11469
2006-02-09,1520.0,1520.0,1532.0,1508.0,1518.0,11563
2006-02-10,1520.0,1520.0,1543.0,1515.0,1520.0,12661
2006-02-13,1491.0,1491.0,1510.0,1487.0,1505.0,1082
2006-02-14,1508.0,1508.0,1520.0,1490.0,1490.0,222
2006-02-15,1495.0,1495.0,1518.0,1492.0,1518.0,203
2006-02-16,1487.0,1487.0,1510.0,1485.0,1490.0,64
2006-02-17,1485.0,1485.0,1495.0,1485.0,1485.0,270
2006-02-21,1444.0,1444.0,1485.0,1444.0,1485.0,60
