Ticker,Company Name,Country,State,Exchange,Sector,Industry,IPO Date
A,Agilent Technologies Inc.,US,CA,NYSE,Healthcare,Diagnostics & Research,1999-11-18
AA,Alcoa Corporation,US,PA,NYSE,Basic Materials,Aluminum,2016-10-18
AACG,ATA Creativity Global,CN,,NASDAQ,Consumer Defensive,Education & Training Services,2008-01-29
AADI,Aadi Bioscience Inc.,US,CA,NASDAQ,Healthcare,Biotechnology,2017-08-08
AAIC,Arlington Asset Investment Corp.,US,VA,NYSE,Real Estate,REIT-Mortgage,1997-12-23
AAL,American Airlines Group Inc.,US,TX,NASDAQ,Industrials,Airlines,2013-12-09
AAMC,Altisource Asset Management Corporation,US,VI,AMEX,Financial Services,Asset Management,2012-12-11
AAME,Atlantic American Corporation,US,GA,NASDAQ,Financial Services,Insurance-Life,1980-01-16
AAN,The Aaron's Company Inc.,US,GA,NYSE,Industrials,Rental & Leasing Services,1982-11-05
AAOI,Applied Optoelectronics Inc.,US,TX,NASDAQ,Technology,Semiconductors,2013-09-26
AAON,AAON Inc.,US,OK,NASDAQ,Industrials,Building Products & Equipment,1991-01-03
AAP,Advance Auto Parts Inc.,US,NC,NYSE,Consumer Cyclical,Specialty Retail,2001-11-29
AAPL,Apple Inc.,US,CA,NASDAQ,Technology,Consumer Electronics,1980-12-12
AAT,American Assets Trust Inc.,US,CA,NYSE,Real Estate,REIT-Diversified,2011-01-13
AATC,Autoscope Technologies Corporation,US,MN,NASDAQ,Technology,Scientific & Technical Instruments,2021-07-21
AAU,Almaden Minerals Ltd.,CA,BC,AMEX,Basic Materials,Gold,1990-05-18
AB,AllianceBernstein Holding L.P.,US,NY,NYSE,Financial Services,Asset Management,1988-04-15
ABBV,AbbVie Inc.,US,IL,NYSE,Healthcare,Drug Manufacturers-General,2013-01-02
ABC,AmerisourceBergen Corporation,US,PA,NYSE,Healthcare,Medical Distribution,1993-12-16
ABCB,Ameris Bancorp,US,GA,NASDAQ,Financial Services,Banks-Regional,1994-05-19
ABCL,AbCellera Biologics Inc.,CA,BC,NASDAQ,Healthcare,Biotechnology,2020-12-11
ABCM,Abcam plc,GB,,NASDAQ,Healthcare,Biotechnology,2020-10-02
ABEO,Abeona Therapeutics Inc.,US,NY,NASDAQ,Healthcare,Biotechnology,1980-09-19
ABEV,Ambev S.A.,BR,SP,NYSE,Consumer Defensive,Beverages-Brewers,2013-11-11
ABG,Asbury Automotive Group Inc.,US,GA,NYSE,Consumer Cyclical,Auto & Truck Dealerships,2002-03-14
